id,logo_path,name,origin_country,movie_id
136730,,Výprava Chochola,CZ,590053
55,,Decla Film Gesellschaft Holz & Co.,DE,234
641,/w8flpSJntsxVCMkIU1qeg1kJcJh.png,Titanus,IT,8422
2260,,Les Films Marceau,FR,8422
99256,/3JXZ6KNftienu8BCdiOxlHv4rba.png,LIVE VIEWING JAPAN,JP,1057003
6683,/reCkuk3GEomdx5gQpsm15Zl1sgX.png,Lantis,JP,1057003
173132,/yV9EORK2ZwdMg45K10PuVh6LlM3.png,Bandai Namco Filmworks,JP,1057003
5,/71BqEFAF4V3qjjMPCpLuyJFB9A.png,Columbia Pictures,US,235
56485,/t0M92JDUfcICcOB46NHxEOhK1FS.png,Act III Productions,US,235
219,,The Mirisch Company,US,239
4,/jay6WcMgagAklUt7i9Euwj1pzTF.png,Paramount Pictures,US,240
536,,The Coppola Company,US,240
4,/jay6WcMgagAklUt7i9Euwj1pzTF.png,Paramount Pictures,US,238
10211,,Alfran Productions,US,238
3659,/f3JAZMtnai5X1LOWJncKPDeYsFQ.png,Django Films,GB,41201
591,/q5I5RDwMEiqoNmfaJgd2LraEOJY.png,France 3 Cinéma,FR,41201
27196,/BQMN3MdMZWWab8Yn1IWl4N7a4c.png,Ciné B,FR,41201
7981,/6Yv1gIAuGkHS5Vis4UjnqHhCPWV.png,Pathé,FR,41201
4,/jay6WcMgagAklUt7i9Euwj1pzTF.png,Paramount Pictures,US,242
70,/ueaENQkPcy8rlr5fGZVBXKOhlBh.png,American Zoetrope,US,242
56435,/ocrd98oFlVYQ27QAnE4E6IyuBQ.png,Lumière & Co.,IT,139504
10358,/pvgiWovEFHYoOO49V7arAhitWTM.png,Ventura Film,CH,139504
20960,/9mO8Z3dcW6ISVMeCv7TbXtWXdGl.png,RSI,CH,139504
12431,/3m45frhaRCLsCKuMtuj7ZwfGwBB.png,SRG SSR,CH,139504
60,/4YldLvCWQL9VIAHQ2Fu3Ffkh9Si.png,United Artists,US,247
52795,,Harris-Kubrick Productions,US,247
33,/8lvHyhjr8oUKOOy2dKXoALWKdp0.png,Universal Pictures,US,254
11,/6FAuASQHybRkZUk08p9PzSs9ezM.png,WingNut Films,NZ,254
68,,Big Primate Pictures,,254
